index,context,target,output,domain
920,i have several baby pets.,i enjoy educating the younger generations.,I bring my pets to schools to give talks.,out_of_domain
921,i have several baby pets.,i enjoy educating the younger generations.,I used to have a baby lizard.  It was fun teaching my little sister about it.,out_of_domain
923,i bite my fingernails.,i work in sales.,I also bite my fingernails because my work makes me nervous.,out_of_domain
924,i bite my fingernails.,i work in sales.,"I try keep polish on mine so I won't, as appearances matter too much in my line of work.",out_of_domain
926,i like my bird.,i did not follow what my parents wanted of me.,I breed birds for a living.,out_of_domain
927,i like my bird.,i did not follow what my parents wanted of me.,"I had a bird, but I didn't care for it right and it died.",out_of_domain
928,i love animals.,i work for peta.,I think that animals should have rights too.,out_of_domain
931,i dislike putting on swimwear.,my mom and dad have a degree in law.,i prefer a business suit like the ones lawyers wear,out_of_domain
932,i dislike putting on swimwear.,my mom and dad have a degree in law.,Don't blame you; most of it is so skimpy.,out_of_domain
933,i dislike putting on swimwear.,my mom and dad have a degree in law.,"I was never allowed to swim,  anything else that most children do.",out_of_domain
934,the smell of the ice and the coldness in the area draws me to games.,i am an older sister.,I have younger siblings and they love snow and like to watch games.,out_of_domain
935,the smell of the ice and the coldness in the area draws me to games.,i am an older sister.,I like to play games with my siblings,out_of_domain
936,the smell of the ice and the coldness in the area draws me to games.,i am an older sister.,"The smell of the ice and the coldness in the area draws me to games, because it's better spending time inside.",out_of_domain
937,i make all of my purchases online.,i like snow and ice.,My packages were delayed because of the weather.,out_of_domain
938,i make all of my purchases online.,i like snow and ice.,This saves me from having to drive to the store in wintery conditions.,out_of_domain
939,i make all of my purchases online.,i like snow and ice.,i like going to the store when it's sunny outside.,out_of_domain
940,i enjoy playing tennis.,my favorite place to go is the mall.,I enjoy going to walk in the mall.,out_of_domain
941,i enjoy playing tennis.,my favorite place to go is the mall.,I am into indoor activities.,out_of_domain
943,i hail from canada.,i enjoy playing on the computer.,Growing up in Canada gave me a real appreciation for the computer.,out_of_domain
944,i hail from canada.,i enjoy playing on the computer.,"I grew up in Canada before moving to warmer climates, and because it was so cold there all the kids stayed indoors playing on their computers.",out_of_domain
945,i hail from canada.,i enjoy playing on the computer.,Cool! I am from the US! Do you have any hobbies?,out_of_domain
947,i work as a computer programmer.,i like to donate time and money to charity.,I also have a bit of time away from the computer to attend to the public in general.,out_of_domain
948,i have three pets.,i love going to the gym.,"I have a pet dog, I go on runs with her in the morning. Do you like running?",out_of_domain
949,i have three pets.,i love going to the gym.,It is sometimes hard to manage them all at once so I have to stay in great shape.,out_of_domain
950,i have three pets.,i love going to the gym.,I go to the gym so much and stay for so long that I had to ask a neighbor to watch my pets while I was gone.,out_of_domain
951,i am a cat owner.,i love to travel.,I want to visit the cat cafe in Portland.,out_of_domain
953,my favorite food is cheeseburgers.,i like to listen to music.,"I eat whatever is around, as  it's not where my interests lie.",out_of_domain
954,my favorite food is cheeseburgers.,i like to listen to music.,I know a great place with cheeseburgers and great music.,out_of_domain
955,my favorite food is cheeseburgers.,i like to listen to music.,I like the music they play at the local burger place.,out_of_domain
956,i went past my masters and have higher qualifications in the books and letters of rome.,i rent a one bedroom.,"I got a classical education, too, but it doesn't pay much.",out_of_domain
957,i went past my masters and have higher qualifications in the books and letters of rome.,i rent a one bedroom.,"Very impressive; I am also pursuing higher education, but it is expensive, and I can hardly afford housing.",out_of_domain
958,i went past my masters and have higher qualifications in the books and letters of rome.,i rent a one bedroom.,I live near the school.,out_of_domain
959,my hobby is sewing.,i like to go swimming.,"Sometimes, I do like to get outdoors though and head to the pool.",out_of_domain
960,i work as a computer programmer.,i am a pilot.,Computers are an important part of aviation.,out_of_domain
962,i lift a lot at the gym.,i lift a lot of weights.,I go to the gym often.  I like to lift weights.,out_of_domain
963,i lift a lot at the gym.,i lift a lot of weights.,I am trying to get bigger muscles.,out_of_domain
965,i lift a lot at the gym.,i lift a lot of weights.,I just started weightlifting.,out_of_domain
966,i lift a lot at the gym.,i lift a lot of weights.,"I don't have the time to commute to a gym every day, so I bought my own weights that I work out with frequently in my home gym.",out_of_domain
967,my parents had six children.,i love to exercise on a machine with two wheels and foot powered pedals.,I have two kids.  We like to exercise together on these cool pedaled machines.,out_of_domain
968,my parents had six children.,i love to exercise on a machine with two wheels and foot powered pedals.,"With many kids in the house, we got a lot of exercise running and playing.  Now my exercise comes from a gym machine.",out_of_domain
969,my parents had six children.,i love to exercise on a machine with two wheels and foot powered pedals.,I have to exercise because I have six children of my own and I've been gaining a lot of weight from the pregnancies.,out_of_domain
970,i give my time to take canines out for exercise eight times per month.,my child is now an adult.,Since my kid moved out I keep myself busy by taking the dogs out for walks.,out_of_domain
971,i give my time to take canines out for exercise eight times per month.,my child is now an adult.,I used to pet sit for a friend who has 2 dogs and a cat.  They also have a little girl.,out_of_domain
972,i give my time to take canines out for exercise eight times per month.,my child is now an adult.,I never had dogs because my son was allergic to them.  He's an adult now though.,out_of_domain
973,i enjoy simple but filling foods.,i own a kitty who has the same name as a president.,My cat eats what I eat.,out_of_domain
974,i enjoy simple but filling foods.,i own a kitty who has the same name as a president.,I always end up giving my food to my cat.,out_of_domain
975,i enjoy simple but filling foods.,i own a kitty who has the same name as a president.,I like to feed my cat simple foods.  I named her after a president.,out_of_domain
976,i am in charge of my dad and moms company.,i like hitting the gym.,My parents own a gym.,out_of_domain
977,i am in charge of my dad and moms company.,i like hitting the gym.,I like my work and the rest of my life being very separate.,out_of_domain
978,i am in charge of my dad and moms company.,i like hitting the gym.,I work for my mom and dad too. I usually start the day by hitting the gym because it can be stressful.,out_of_domain
979,i try to keep active.,i stay with my mom and dad.,i take care of my aging parents.,out_of_domain
980,i try to keep active.,i stay with my mom and dad.,"I do too, but do not really enjoy running nor the conditions of my living now which would encompass such.",out_of_domain
981,i try to keep active.,i stay with my mom and dad.,"Same here, I really enjoy running. Where are you currently living, we should go running together sometime.",out_of_domain
982,my children are my life.,i love kids and am a doctor.,I work with kids and love to spend time with my own kids.,out_of_domain
983,my children are my life.,i love kids and am a doctor.,"Honestly, it's not just my kids, but all kids.",out_of_domain
984,my children are my life.,i love kids and am a doctor.,Usually parents or those with kids will say that -- it makes sense though from a bare perspective on life and health/living altogether I suppose.,out_of_domain
986,i love to travel.,i grew up by the ocean.,"I prefer going to the mountains, to see something different.",out_of_domain
988,i work out daily.,i own many cars.,I have three dogs.,out_of_domain
989,i like to cook with jalapenos.,i live in a stand alone.,i don't have a big enough kitchen to cook,out_of_domain
990,i like to cook with jalapenos.,i live in a stand alone.,My old neighbors didn't like it when I cooked jalapenos.,out_of_domain
991,i like to cook with jalapenos.,i live in a stand alone.,The smell spreads through the whole house.,out_of_domain
992,i love to travel.,i enjoy cooking and baking.,I want to travel more so I can learn the cooking styles of different cultures.,out_of_domain
993,i love to travel.,i enjoy cooking and baking.,I also have hobbies,out_of_domain
994,i love ballet.,my favorite food is macaroni and cheese.,"That's cool! I currently am studying ballet, I love it, but I also wish I could eat things like Macaroni and Cheese.",out_of_domain
995,i love ballet.,my favorite food is macaroni and cheese.,"I like macaroni and cheese so much that I start dancing with joy around my house whenever I'm eating it, doing pirouettes and all sorts of moves.",out_of_domain
996,i love ballet.,my favorite food is macaroni and cheese.,"It helps keep me in shape, which is good because I love to eat.",out_of_domain
998,i like eating vegetables.,i love to workout.,Sounds like you and I are both trying to stay healthy.,out_of_domain
999,i like eating vegetables.,i love to workout.,I try to be healthy.,out_of_domain
1000,i love italian cooking.,i assign edgy labels that allow others find good qualities.,I really am into Japanese food. What do you do for work though?,out_of_domain
1001,i love italian cooking.,i assign edgy labels that allow others find good qualities.,There are some Italian spices that I love.  The quality of them are so good.,out_of_domain
1002,i love italian cooking.,i assign edgy labels that allow others find good qualities.,I organize recipes on the internet.,out_of_domain
1004,i enjoy making small toy wheeled vehicle challenge other drivers of such vehicles.,i like to listen to music.,"That's cool, I really enjoy painting and listening to music. Do you like music as well?",out_of_domain
1005,i enjoy making small toy wheeled vehicle challenge other drivers of such vehicles.,i like to listen to music.,When I am not making toy vehicles I turn on YouTube.,out_of_domain
1006,i am a meat an potatoes kind of person.,i enjoy alcohol to unwind.,I need something naughty to wash it down.,out_of_domain
1007,i am a meat an potatoes kind of person.,i enjoy alcohol to unwind.,"I've given up meat, but will never give up alcohol.",out_of_domain
1008,i am a meat an potatoes kind of person.,i enjoy alcohol to unwind.,I always have a beer with my steak.,out_of_domain
1009,i enjoy getting a good dance cardio workout.,i like to cook different foods.,workouts make it so that I don't feel guilty eating.,out_of_domain
1010,i enjoy getting a good dance cardio workout.,i like to cook different foods.,You must eat healthy to keep up with the workouts.,out_of_domain
1013,i cant wait to drive.,i still am staying with my mom and dad.,I feel like such a child in many ways.,out_of_domain
1014,i cant wait to drive.,i still am staying with my mom and dad.,"Same here, but I am not allowed while I'm not independent.",out_of_domain
1016,i am a student.,i like to go fishing.,When I have free time I like to go to the lake near here.,out_of_domain
1017,i am a student.,i like to go fishing.,"When I study as a student, I like to relax by fishing before tests.",out_of_domain
1019,i have a lot of kids and pets.,frozen treats are amongst my favorites.,I like to make things with my kids.,out_of_domain
1020,i have a lot of kids and pets.,frozen treats are amongst my favorites.,I generally avoid kids and pets too often because it can really put a dent in my low-stress lifestyle and food binging luxuries.,out_of_domain
1021,i have a lot of kids and pets.,frozen treats are amongst my favorites.,I feed them anything I want.,out_of_domain
1022,i have a lot of kids and pets.,frozen treats are amongst my favorites.,My kids are great.  We like to eat ice cream together.,out_of_domain
1023,i have a lot of kids and pets.,frozen treats are amongst my favorites.,I give my children popsicles when they behave well.,out_of_domain
1024,i like to watch sports.,i am a fitness junkie.,I like to watch sports whenever I can and it always makes me want to work out. I'm really a fitness junkie in every way.,out_of_domain
1025,i like to watch sports.,i am a fitness junkie.,I also like to do sports.,out_of_domain
1026,i like to watch sports.,i am a fitness junkie.,I like to get involved in sports to be fit.,out_of_domain
1027,i have 3 thumbs.,i talk very fast.,I have large feet.,out_of_domain
1028,i love to travel.,i have a crummy job at scrubway.,I don't get to travel as much as I want because of lack of money.,out_of_domain
1030,my father is a preacher.,i do not know how to swim.,"i don't know how to swim, but my father is a preacher.",out_of_domain
1031,my father is a preacher.,i do not know how to swim.,He baptized people in the river. I was scared to get baptized.,out_of_domain
1032,i have a dog.,i am gluten free.,"I like dogs, and I like hot dogs, do you?",out_of_domain
1033,i have a dog.,i am gluten free.,I have a dog as well and we both eat gluten free food haha.,out_of_domain
1034,i want to help people.,my spouse works putting out fires.,I have a big heart.  My spouse does also because they are a firefighter.,out_of_domain
1035,i want to help people.,my spouse works putting out fires.,My wife likes to help people too. She's a firefighter.,out_of_domain
1036,i want to help people.,my spouse works putting out fires.,my husband helps people at his job.,out_of_domain
1037,i want to help people.,my spouse works putting out fires.,I'm a naturally helpful person.  my wife is annoyed by this because she has to end up helping too.,out_of_domain
1038,i want to help people.,my spouse works putting out fires.,I think helping people is noble.  My husband is a fire fighter.,out_of_domain
1039,i want to help people.,my spouse works putting out fires.,It is a noble thing to want to help people.  I admire people like you and my husband who work at helping people.,out_of_domain
1040,i want to help people.,my spouse works putting out fires.,I admire firefighters.,out_of_domain
1041,i want to help people.,my spouse works putting out fires.,I end up messing up.,out_of_domain
1042,i want to help people.,my spouse works putting out fires.,I wish I was more altruistic.  Even my spouse has a job helping people.,out_of_domain
1043,i have a crummy job at scrubway.,i am in college.,I have to work to go to school.,out_of_domain
1044,i have a crummy job at scrubway.,i am in college.,"It's just until I graduate and can get a better job.  Right now, I'm in college.",out_of_domain
1045,i have a crummy job at scrubway.,i am in college.,I work my way through college at a bad job.,out_of_domain
1046,i enjoy exercising.,i am a parent to 3 kids.,I love going to the gym before dropping my kids off for school.,out_of_domain
1047,i enjoy exercising.,i am a parent to 3 kids.,I love to work out.  I need to work out after having three pregnancies.,out_of_domain
1049,i am going to school to earn a degree.,i do not consume meat.,I will earn my degree as a dietician.,out_of_domain
1050,i am going to school to earn a degree.,i do not consume meat.,I have learned a lot of my values while in college.,out_of_domain
1051,i am going to school to earn a degree.,i do not consume meat.,Earning this degree at school is going to go along way in providing income for me to afford buying vegan products.,out_of_domain
1052,i found my spouse at a musical performance by a boy band.,i have an older brother and an older sister.,My brother is in a boy band.,out_of_domain
1053,i found my spouse at a musical performance by a boy band.,i have an older brother and an older sister.,"That's cool! I met my current husband through my brother, do you have any siblings?",out_of_domain
1054,i found my spouse at a musical performance by a boy band.,i have an older brother and an older sister.,My siblings were not supportive of our relationship,out_of_domain
1055,i enjoy spending time in the water.,hearing people sing from the heart can move me to tears.,"I really like swimming for sport, but in my spare time I like to go to the opera. Do you enjoy opera music?",out_of_domain
1056,i enjoy spending time in the water.,hearing people sing from the heart can move me to tears.,There is a singer at the water park,out_of_domain
1057,i enjoy spending time in the water.,hearing people sing from the heart can move me to tears.,I like pool parties with music.  A good song can bring me to tears.,out_of_domain
1058,i talk to a mental health professional but i do not think she gets me.,my parents had more than one child.,Mine says I suffer from sibling envy.,out_of_domain
1059,i talk to a mental health professional but i do not think she gets me.,my parents had more than one child.,"When I have problems, I talk to my parents.",out_of_domain
1060,i talk to a mental health professional but i do not think she gets me.,my parents had more than one child.,I had a big family so no attention was paid to me.,out_of_domain
1061,i am a well educated businessman.,i have had a boyfriend for 24 months.,When I am not at work I like to spend time with my boyfriend.,out_of_domain
1062,i am a well educated businessman.,i have had a boyfriend for 24 months.,"My boyfriend is also a business, although he never graduated college. He got into business by being an inventor.",out_of_domain
1064,i am a well educated businessman.,i have had a boyfriend for 24 months.,my boyfriend is a business executive,out_of_domain
1065,i am a well educated businessman.,i have had a boyfriend for 24 months.,So is my boyfriend.,out_of_domain
1066,i am a well educated businessman.,i have had a boyfriend for 24 months.,I studied for a while too.  That is where I met my boyfriend of 24 months.,out_of_domain
1067,i love art museums.,i lease my car.,I am saving to start my own art collection.  I save on car payments.,out_of_domain
1068,i love art museums.,i lease my car.,"I can't afford to go to art museums very often, though.",out_of_domain
1070,i have a very strong body.,i have a permit to hunt deer.,It takes muscles and strength to go deer hunting.,out_of_domain
1071,i have a very strong body.,i have a permit to hunt deer.,"I work out so I'll be in shape for outdoor activities, like hiking, climbing and hunting.",out_of_domain
1072,i enjoy sharing my voice.,i feel drawn to many objects.,I enjoy sharing my voice and I'm good at making up stories about anything and everything I see.,out_of_domain
1073,i enjoy sharing my voice.,i feel drawn to many objects.,"I have a passion for voice work, but I think it depends on the context.",out_of_domain
1074,i enjoy sharing my voice.,i feel drawn to many objects.,I like to sing songs about objects.,out_of_domain
1075,i try to avoid driving short distances when able.,i wear a lot of black.,"Same, I usually try to bike to places like the store or work. I like your shirt by the way! It is a really pretty color, I've never seen you wear this before.",out_of_domain
1076,i try to avoid driving short distances when able.,i wear a lot of black.,I like to walk but I get too hot.,out_of_domain
1077,i try to avoid driving short distances when able.,i wear a lot of black.,I do not bother driving at all since I always walk or ride bike around my city.,out_of_domain
1078,i try to avoid driving short distances when able.,i wear a lot of black.,I would just rather stay home myself.  I've always been kind of a loner.,out_of_domain
1079,i try to avoid driving short distances when able.,i wear a lot of black.,It's hard to see at night.,out_of_domain
1080,i try to avoid driving short distances when able.,i wear a lot of black.,When I want to sneak up on people I walk.,out_of_domain
1081,i enjoy listening to pop punk music.,my office is the internet.,I love cool music.  I listen to it while I do my work from home job online.,out_of_domain
1082,i enjoy listening to pop punk music.,my office is the internet.,I mostly listen to music at the office.,out_of_domain
1083,i enjoy listening to pop punk music.,my office is the internet.,I like to listen to music when I am working.,out_of_domain
1085,children in elementary shool are an enjoyment to work with.,i want to get in shape.,I got my first weight set when I was 12 and I am now a professional bodybuilder.,out_of_domain
1086,children in elementary shool are an enjoyment to work with.,i want to get in shape.,I work as a PE teacher at an elementary school.,out_of_domain
1087,i enjoy eating meat from cows.,i like to listen to music.,I have to work off the unhealthy food I heat by walking on a treadmill and listening to music.,out_of_domain
1088,i enjoy eating meat from cows.,i like to listen to music.,I like watching or listening something when eating,out_of_domain
1089,i enjoy eating meat from cows.,i like to listen to music.,After meals I like to relax.,out_of_domain
1091,i am not a fan of science.,i am currently looking for a job.,I just graduated with a science degree,out_of_domain
1093,i have a daughter.,i am a great cook.,"I am trying to cook better meals for my family, do you have any family friendly recipes?",out_of_domain
1094,i have a daughter.,i am a great cook.,"I've never had children, so I had time to develop hobbies, and I'm a great cook if I do say so myself.",out_of_domain
1095,i dislike hatred.,i like the best stuff.,"Me too, I like to surround myself in happiness, and things that will comfort me and others.",out_of_domain
1097,i dislike hatred.,i like the best stuff.,"I do too, but sometimes I have fed off or feed off of it when things go wrong.",out_of_domain
1098,i work at a juice business.,i attend an area institute of higher learning.,I study too much to work.,out_of_domain
1099,i work at a juice business.,i attend an area institute of higher learning.,I love juice and get some every day before going to class.,out_of_domain
1100,i work at a juice business.,i attend an area institute of higher learning.,I work to pay for school,out_of_domain
1101,i am a labor worker.,i have one pet.,When I'm not working I'm spending time with my pet.,out_of_domain
1102,i am a labor worker.,i have one pet.,"My pet is a large dog who sometimes works pulling sleighs for mushers in Alaska, so I jokingly refer to my dog as a labor worker.",out_of_domain
1103,i am a labor worker.,i have one pet.,I love to see my pet after work.,out_of_domain
1104,i work in the healthcare industry.,i prefer to adorn myself with things that compliment my skin tone.,"I've been taking better care of my skin since I got melanoma and had to have a mole removed, which was covered for me by my healthcare plan.",out_of_domain
1105,i work in the healthcare industry.,i prefer to adorn myself with things that compliment my skin tone.,I work in epidermatology.,out_of_domain
1106,i work in the healthcare industry.,i prefer to adorn myself with things that compliment my skin tone.,My job lets me buy the makeup I want.,out_of_domain
1107,my career is that of a physical performer.,i enjoy sharing my voice.,I love taking the stage and dancing.  I also like singing while I'm on stage.,out_of_domain
1108,my career is that of a physical performer.,i enjoy sharing my voice.,I am a professional singer.,out_of_domain
1109,my career is that of a physical performer.,i enjoy sharing my voice.,I sing as a performer also since I love to sing.,out_of_domain
1112,i love to ride my bike.,i like my job.,Being that I love to ride why I decided to become a bike courier.,out_of_domain
1113,i do not eat meat.,i am a veteran.,I did not eat meat in the military.,out_of_domain
1115,i do not eat meat.,i am a veteran.,Most veterans in the armed forces are meat eaters because we need the protein for all the physical exertion we're doing.,out_of_domain
1116,my father passed away when i was a teen.,i download videos online.,I watched my dad's funeral online.,out_of_domain
1118,my father passed away when i was a teen.,i download videos online.,I liked to play alot of video games when I was a teen and now I download them online.,out_of_domain
1119,i love to workout.,i am glad that i work from home.,I have a home gym.,out_of_domain
1120,i love to workout.,i am glad that i work from home.,I’m glad that I work from home because it gives me a great opportunity to do various exercises while I’m working.,out_of_domain
1121,i work in a lawyers firm.," i have a lot of hair on my face , but none on my head.","Most lawyer firms require their employees to be clean shaven, so I couldn't have a beard if I worked there.",out_of_domain
1122,i work in a lawyers firm.," i have a lot of hair on my face , but none on my head.","I could never work or basically be a lawyer or such -- too much stress and too ""unfit"" for me.",out_of_domain
1123,i work in a lawyers firm.," i have a lot of hair on my face , but none on my head.",All the lawyers I've met don't have much hair.,out_of_domain
1124,i am a retired computer programmer.,i love animals.,I always had a pet around when I programmed computers,out_of_domain
1125,i am a retired computer programmer.,i love animals.,Now I spend my time volunteering at the local animal shelter.,out_of_domain
1126,i am a retired computer programmer.,i love animals.,I am retired from computer programming and live with my animals who I love,out_of_domain
1127,i love videotaping my dog doing cute stuff.,i have mom and dad working in the educational system as a educator.,My parents are always busy with work so I make videos on my freetime.,out_of_domain
1128,i love videotaping my dog doing cute stuff.,i have mom and dad working in the educational system as a educator.,Mom and dad raised money for their school system by releasing videos of the school children doing cute stuff.,out_of_domain
1129,i love videotaping my dog doing cute stuff.,i have mom and dad working in the educational system as a educator.,"I have had different jobs such as videoing and enjoyed it, but many do not necessarily approve of it as a ""real"" job.",out_of_domain
1130,i enjoy taking long walks outside.,i curate art.,I like walking past the art gallery I own.,out_of_domain
1131,i enjoy taking long walks outside.,i curate art.,"I like to enjoy nature, though I see everything in terms of how it would look in a painting.",out_of_domain
1132,i enjoy taking long walks outside.,i curate art.,"My favorite walks have always been the ones I take through art museums, so I suppose it's unsurprising that I ended up curating art as a career.",out_of_domain
1133,i have bad luck with pets.,i enjoy eating meat from cows.,I have bad luck with animals but I do enjoy the meet some of them provide especially cows.,out_of_domain
1134,i have bad luck with pets.,i enjoy eating meat from cows.,I often wonder why us humans don't eat cats and dogs.,out_of_domain
1135,i have bad luck with pets.,i enjoy eating meat from cows.,"I tried to not eat meat, but I failed.",out_of_domain
1136,i want to help people.,i am an elementary school teacher.,Teaching is a good way to help people.,out_of_domain
1137,i want to help people.,i am an elementary school teacher.,I became a teacher since I like to help people.,out_of_domain
1138,i want to help people.,i am an elementary school teacher.,Its great to help people. I help my students everyday at my teaching job.,out_of_domain
1139,i like reading a lot.,i also enjoy reading the game of thrones series books.,"i like to read game of thrones, and i like reading a lot.",out_of_domain
1140,i like reading a lot.,i also enjoy reading the game of thrones series books.,I love fantasy books.,out_of_domain
1142,i exercise often and have nice muscles.,i wear nice clothes.,I belong to a 24 hour gym so I can exercise whenever which allows me to wear the clothes I like.,out_of_domain
1143,i exercise often and have nice muscles.,i wear nice clothes.,I think I look better in clothes when I work out.,out_of_domain
1144,i love to sing.,i am dating my boss.,I sang a song to my boss one day.  We are dating now.,out_of_domain
1145,i love to sing.,i am dating my boss.,I sing for my boss sometimes.,out_of_domain
1146,i love to sing.,i am dating my boss.,My boss won't stop singing,out_of_domain
1147,i have dark mane.," i may be a skier , but i am afraid of tall mountains.","Yeah, it is really beautiful, but you hide it under your beanie when we are skiing so I never see it. Do you want to hit that route on the tall mountain tomorrow morning?",out_of_domain
1148,i have dark mane.," i may be a skier , but i am afraid of tall mountains.","Does it suit your preferences? I generally try and look how I feel, to whatever extent I can.",out_of_domain
1149,i have dark mane.," i may be a skier , but i am afraid of tall mountains.",I tie up my hair when I ski.,out_of_domain
1150,i have multiple puppies.,i love to get drunk on fancy alcohol.,"I have a lot of dogs, but it's hard to take care of them because I get drunk a lot.",out_of_domain
1151,i have multiple puppies.,i love to get drunk on fancy alcohol.,My dogsitter got drunk last week.,out_of_domain
1152,i have multiple puppies.,i love to get drunk on fancy alcohol.,That is kind of you. I drink too much to have anything depend on me.,out_of_domain
1153,i take pride in using fresh produce when cooking.,i only own a single set of footwear.,"I don't have extra money to spend on more pairs of shoes. I spend my free money on healthy, fresh produce.",out_of_domain
1154,i take pride in using fresh produce when cooking.,i only own a single set of footwear.,I don't get to use fresh produce as much as I'd like because I'm so poor.,out_of_domain
1156,i like making clothes with needles and thread.,i provide assistance to students who are reading works created in england.,"For one classroom demonstration, the students had to make their own English-inspired clothes.",out_of_domain
1157,i like making clothes with needles and thread.,i provide assistance to students who are reading works created in england.,I like to teach students how to sew.,out_of_domain
1158,i like making clothes with needles and thread.,i provide assistance to students who are reading works created in england.,I love to sew.  I sew while I tutor my college students.,out_of_domain
1159,i have a lot of kids.,i am making a scarf for my daughter.,This year I will be making scarfs for all my daughters and hats for the boys.,out_of_domain
1160,i have a lot of kids.,i am making a scarf for my daughter.,I make scarfs for my kids.,out_of_domain
1161,i have a lot of kids.,i am making a scarf for my daughter.,I guess the cool thing about having kids is that they are like little people/adults in a sense.,out_of_domain
1162,i have a lot of kids.,i am making a scarf for my daughter.,I like to make things for my kids.,out_of_domain
1163,i have a lot of kids.,i am making a scarf for my daughter.,I only have a daughter.  I'm making a scarf for her.,out_of_domain
1164,i have a lot of kids.,i am making a scarf for my daughter.,"For my other three kids, I'm making them all sweaters. I have a lot of kids and can't afford to buy them all presents, so I make them presents.",out_of_domain
1165,i enjoy exercising.,my car is not anything too fancy.,"I actually don't even drive my car much since it's so old. I prefer walking, jogging and cycling if I need to go somewhere.",out_of_domain
1166,i enjoy exercising.,my car is not anything too fancy.,I prefer walking to driving my plain car.,out_of_domain
1167,i enjoy exercising.,my car is not anything too fancy.,I also like to go on drives in my car.,out_of_domain
1168,i live near the ocean.,i love to surf.,"That would be a dream come true for me, as I've always loved to surf.",out_of_domain
1169,i live near the ocean.,i love to surf.,"I love the beaches here, not only are they good for surfing, but you can go on some nice long walks or have a picnic with family",out_of_domain
1171,i have a lot of siblings.,i am a ginger.,My siblings and I all have the same type of hair.,out_of_domain
1172,i have a lot of siblings.,i am a ginger.,You'll be able to pick me out in a family picture. All my siblings have brown hair.,out_of_domain
1173,i have a lot of siblings.,i am a ginger.,"Cool, I have siblings and we all have freckles.  I guess because of my family genes I'm a ginger.",out_of_domain
1175,i have a lot of facial hair.,i am a ginger.,The hair on my head is ginger but my facial hair is more of a brown color.,out_of_domain
1176,i have a lot of facial hair.,i am a ginger.,You do have a lot of facial hair and I love the color.  What do you think about my hair color?,out_of_domain
1178,i do not have a lot of friends.,i like to go to the park.,"I need friends to go places for fun, what do you do?",out_of_domain
1179,in the future i want to drive a large vehicle.,i take care of people.,I do not make a lot of money but my job is fulfilling.,out_of_domain
1182,being outdoors among the sand and ocean are fun.,i have a masters of business.,I get to see the ocean frequently because of work trips.,out_of_domain
1183,being outdoors among the sand and ocean are fun.,i have a masters of business.,"I love being in the outdoors by the beach, I don’t get to do it often because I’m locked in a building due to my job in business.",out_of_domain
1184,being outdoors among the sand and ocean are fun.,i have a masters of business.,I don't get to go to the beach much because of work.,out_of_domain
1185,being outdoors among the sand and ocean are fun.,i have a masters of business.,"I love the beach, I couldn't really go that much during school. What did you master in while in school?",out_of_domain
1186,being outdoors among the sand and ocean are fun.,i have a masters of business.,"Being in nature is best for me often times as I did not pursue much ""beyond"" high school.",out_of_domain
1187,being outdoors among the sand and ocean are fun.,i have a masters of business.,i like to go to the beach when I am not working.,out_of_domain
1188,burnt umber and tangerine are some of my top colored pencil choices.,i want to work in tech.,I like to draw and create art when I'm not at work.,out_of_domain
1189,burnt umber and tangerine are some of my top colored pencil choices.,i want to work in tech.,I do my art a lot but think often about getting a job.,out_of_domain
1190,burnt umber and tangerine are some of my top colored pencil choices.,i want to work in tech.,"I love creating designs with burnt umber and tangerine colored pencils, which I will use in my future job in tech.",out_of_domain
1191,i do not like kids.,i do not like acting.,Can you pretend to like kids?,out_of_domain
1192,i do not like kids.,i do not like acting.,sometimes I have to pretend when I go to my nieces house,out_of_domain
1193,i do not like kids.,i do not like acting.,You have to act all nice around kids.,out_of_domain
1194,i love getting a manicure.,i can run a long distance within 240 seconds.,I love to run.,out_of_domain
1195,i love getting a manicure.,i can run a long distance within 240 seconds.,I can't get a manicure because I exercise too much.,out_of_domain
1196,i love getting a manicure.,i can run a long distance within 240 seconds.,I look pretty but I'm a tough person.,out_of_domain
1197,my locks are chestnut.,i am a educator.,I like this color since I feel it suits one for their job sometimes.,out_of_domain
1198,my locks are chestnut.,i am a educator.,My locks are a nice chestnut color and kids play with them.  They mainly do this a lot because I'm a teacher.,out_of_domain
1199,my locks are chestnut.,i am a educator.,There is a little girl in my class that has chestnut hair.,out_of_domain
1200,my mother is in the hospital.,i like basketball.,"My mother is in the hospital so I spend a lot of time there visiting her, but it can get boring so luckily there's a basketball court nearby because I like basketball.",out_of_domain
1201,my mother is in the hospital.,i like basketball.,I love chicken noodle soup.,out_of_domain
1202,my father is in prison.,i enjoy running.,"Before my father was in prison, he was a runner.",out_of_domain
1203,my father is in prison.,i enjoy running.,it makes me sad that my father is in prison. exercising helps me keep my mind off of things.,out_of_domain
1205,i become marry in my youth.,i have a bunch of kids.,I got married to have children.,out_of_domain
1206,i become marry in my youth.,i have a bunch of kids.,I want a family,out_of_domain
1207,i become marry in my youth.,i have a bunch of kids.,I am still happily married,out_of_domain
1209,i do not like to cook.,i want to get my own place.,"I actually love to cook, but sharing the kitchen with three roommates makes it difficult, so I've started saving up for my own place.",out_of_domain
1210,i do not like to cook.,i want to get my own place.,"I don't cook a lot either, but it will be hard when I get my own place.",out_of_domain
